phase,query_idx,filter_idx,actual_selectivity,estimated_selectivity,strategy_chosen,latency_ms,recall,reward,predict_overhead_us,route_overhead_us
learning,44,28,0.929375,0.9271666666666667,post_filter,0.4949999929522164,1.0,0.9752500003523892,17625.003238208592,0.16599369700998068
learning,9,28,0.929375,0.9271666666666667,post_filter,3.9982499947655015,1.0,0.8000875002617249,14457.997167482972,0.12500095181167126
learning,2,17,0.68122,0.6775,post_filter,0.5101249989820644,1.0,0.9744937500508968,3209.0028980746865,1.3750031939707696
learning,35,18,0.70283,0.6958333333333333,bitmap_prefilter,41.74049999710405,1.0,0.0,8666.000212542713,2.2500025806948543
learning,2,4,0.14001,0.13066666666666665,bitmap_prefilter,7.811123999999836,1.0,0.6094438000000082,1958.003849722445,0.5830006557516754
learning,2,28,0.929375,0.9271666666666667,post_filter,5.919916999118868,1.0,0.7040041500440566,13791.002857033163,0.08399365469813347
learning,22,28,0.929375,0.9271666666666667,post_filter,1.8328739970456809,1.0,0.908356300147716,13666.998711414635,0.08300412446260452
learning,43,6,0.178125,0.17883333333333334,bitmap_prefilter,10.672166994481813,1.0,0.46639165027590934,2792.003215290606,1.2080054148100317
learning,22,3,0.12083,0.124,post_filter,0.4611669937730767,1.0,0.9769416503113462,1458.00004247576,0.5839974619448185
learning,26,28,0.929375,0.9271666666666667,post_filter,0.8258339948952198,1.0,0.958708300255239,13625.001884065568,0.12500095181167126
learning,47,19,0.728715,0.7221666666666666,bitmap_prefilter,40.607916002045386,1.0,0.0,11041.993275284767,1.2919990695081651
learning,15,29,0.952505,0.9553333333333334,post_filter,0.6518340014736168,1.0,0.9674082999263192,19667.00074262917,0.12499367585405707
learning,10,27,0.907765,0.9088333333333334,post_filter,0.7484159941668622,1.0,0.9625792002916569,11791.998986154795,0.08300412446260452
learning,11,25,0.86027,0.8641666666666666,post_filter,0.5967079996480606,1.0,0.970164600017597,10750.001820269972,1.4999968698248267
learning,11,0,0.05003,0.04666666666666667,post_filter,0.634083007753361,0.0,0.0,1124.994014389813,0.500003807246685
learning,26,10,0.269975,0.27366666666666667,post_filter,1.2054579929099418,1.0,0.9397271003545029,1041.0003596916795,0.790998456068337
learning,47,27,0.907765,0.9088333333333334,post_filter,0.5139580025570467,1.0,0.9743020998721477,11292.002454865724,0.12500095181167126
learning,15,25,0.86027,0.8641666666666666,bitmap_prefilter,44.70458399737254,1.0,0.0,10750.001820269972,1.45800004247576
learning,44,25,0.86027,0.8641666666666666,bitmap_prefilter,45.38112499722047,1.0,0.0,10874.99549612403,1.3749959180131555
learning,2,27,0.907765,0.9088333333333334,post_filter,0.6304169946815819,1.0,0.9684791502659209,11374.999303370714,0.12500095181167126
learning,30,27,0.907765,0.9088333333333334,post_filter,0.7265829917741939,1.0,0.9636708504112903,11333.99928221479,0.08299684850499034
learning,12,7,0.210355,0.20866666666666667,post_filter,0.7649170001968741,1.0,0.9617541499901563,5166.002665646374,0.7500057108700275
learning,22,14,0.389405,0.3953333333333333,bitmap_prefilter,27.946917005465366,1.0,0.0,11834.003089461476,0.8330025593750179
learning,14,25,0.86027,0.8641666666666666,bitmap_prefilter,44.8844589991495,1.0,0.0,10875.002772081643,1.3339958968572319
learning,12,21,0.773455,0.7686666666666667,bitmap_prefilter,51.315374999830965,1.0,0.0,11125.004675704986,1.334003172814846
learning,4,8,0.23102,0.23733333333333334,post_filter,0.5557500044233166,1.0,0.9722124997788342,2875.0000637955964,0.7090056897141039
learning,22,8,0.23102,0.23733333333333334,post_filter,0.4938329948345199,0.7,0.0,2417.0003598555923,0.6659975042566657
learning,43,12,0.31878,0.3225,post_filter,0.7129570003598928,1.0,0.9643521499820054,3374.996595084667,0.7910057320259511
learning,21,17,0.68122,0.6775,post_filter,0.6355419973260723,1.0,0.9682229001336964,3165.9947126172483,1.1660013115033507
learning,16,3,0.12083,0.124,bitmap_prefilter,6.719207995047327,1.0,0.6640396002476336,1334.003172814846,0.5410038284026086
